track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Længsel,1lwVlrh8sqai2WuvVqfZYy,2019-07-11T08:43:11Z,Længsel,2019-06-29,115750,46,Tosh Møller,2CUZliHXKYjXEV2BOZqMvi,2,36,,0.34,0.0456,1.0,-26.886,1.0,0.0722,0.9940000000000001,0.9620000000000001,0.113,0.307,130.58,4.0
Becalm,4N9UKWy0TLiwNEuzeynWiU,2019-07-11T08:43:11Z,Solo,2019-07-05,149352,45,Matt Stewart-Evans,7x67OgZ8Iu8FEYpvRAPuh7,1708,50,"compositional ambient,focus,neo-classical",0.435,0.0502,4.0,-21.576999999999998,1.0,0.0407,0.99,0.946,0.128,0.342,100.37299999999999,1.0
Ci vediamo domani,41mFwl6ZbwEBQ1TO4T5YcM,2019-07-11T08:43:11Z,Ci vediamo domani,2019-06-29,153500,44,Fioretta Rizzo,3aG2UYHfqXOYEJ9YzHCBqZ,0,35,,0.37,0.0223,1.0,-28.838,1.0,0.0622,0.996,0.9590000000000001,0.0895,0.436,168.293,4.0
Vidablick,5R3lfiorYRmiau9AASKLDW,2019-07-11T08:43:11Z,Vidablick,2019-06-29,97000,46,Harry Bergqvist,7edUGJR9gORcdARCKR76ks,1,37,,0.355,0.0306,2.0,-28.249000000000002,0.0,0.0454,0.995,0.9470000000000001,0.132,0.336,64.404,3.0
Veracity,3ClKFHLvLvVEyCxFXg9lEi,2019-07-11T08:43:11Z,Veracity,2019-07-03,148585,44,Helene Roche,35rUAUQHv5PFbWv1L6CMrq,1,35,,0.486,0.0069099999999999995,0.0,-21.456999999999997,0.0,0.0396,0.991,0.9359999999999999,0.11199999999999999,0.27899999999999997,66.021,4.0
Ode To Sunshine,1Zfkx3AThGj2ysalStOIyn,2019-07-11T08:43:11Z,Clear Blue Skies,2017-03-16,268500,42,Edward Elysseus,3B2uDXsfuaUaXn5CuN4Eh7,308,45,,0.368,0.00872,5.0,-23.829,1.0,0.0508,0.992,0.955,0.0899,0.107,75.417,4.0
The Milki Way,1U9YC9rH1hg3JmB9lbdjAE,2019-07-11T08:43:11Z,Hope And Glory,2018-03-06,170835,40,Figgy Malone,0MeNDWmyEBS65fk2Vihetl,1359,50,focus,0.502,0.0741,5.0,-23.778000000000002,1.0,0.0413,0.991,0.932,0.12,0.198,169.997,4.0
Roots,0ooDj837CyEnnZKu0nmaX5,2019-07-11T08:43:11Z,Age Of The Farmer,2018-06-05,199750,42,Wilmer Norman,13r0ejbEnMOb3VUJczW02L,287,51,,0.509,0.00603,0.0,-26.715999999999998,1.0,0.0825,0.9940000000000001,0.961,0.134,0.377,131.232,5.0
Inertia,5uUwKnLsfHUqZim6rivEpr,2019-07-11T08:43:11Z,Valentine,2018-09-03,193173,53,8th Floor Wide,3SIHBhzxgzWiGL8ZzZMhwr,182,55,,0.392,0.0429,4.0,-22.680999999999997,0.0,0.0588,0.993,0.9520000000000001,0.105,0.146,163.953,4.0
Valse Glacée,6nFq454HmDgKLSit00vniw,2019-07-11T08:43:11Z,Valse Glacée,2018-09-03,180544,58,Tomasz Kraal,1XJ3PChclslYOOvJ7fJRkJ,2094,60,"compositional ambient,focus,neo-classical",0.337,0.00907,10.0,-29.19,0.0,0.0439,0.995,0.924,0.13,0.0852,62.833,4.0
The Way There,2X0ophIMSyCw9SSISrIEpQ,2019-07-11T08:43:11Z,The Way There,2019-02-01,204216,48,Hreidar,0tVS8c23TG8rD0vyBSXuWe,25,39,,0.521,0.0117,2.0,-27.872,1.0,0.0567,0.996,0.9640000000000001,0.11199999999999999,0.301,65.48,4.0
Stairs,6003CN643H6xAMoSDrOT5z,2019-07-11T08:43:11Z,Stairs,2019-02-15,217978,48,Sumsar,3IKjg0f073Wk4IecayFzWW,22,38,,0.32899999999999996,0.0449,10.0,-23.07,0.0,0.0373,0.995,0.898,0.10400000000000001,0.0376,128.018,4.0
Divine Structure,5S7nfUHhiA3kfmyMPvhV6V,2019-07-11T08:43:11Z,Episode,2018-03-27,227874,53,Charlotte Funke,3yO7osdYZcoKHt0kTZT486,460,54,,0.267,0.0213,5.0,-22.608,1.0,0.0497,0.987,0.919,0.102,0.0502,57.178000000000004,4.0
